甜蜜蜜191024622 主持人声音好好听
吉祥三宝3507 主持人赐予我力量吧
手机用户84007967096 为主持人打电话
Devoted46822486 主持人棒棒的
用户137057994 主持人颜值爆棚啊
毛毛207251960 主持人单口相声说的溜啊
凉刀温酒徐 主持人真学霸
紫色风暴29 主持人脸熟啊
龙仔想静静 口才真好啊
青岛249438157 主持人真是清流啊
解忘悠 气质不错
刚1705816 十项全能的主持人
吉祥三宝3507 想进直播间 和主持人肩并肩
晴huang925 主持人好搞笑哦
番茄酱150 给主持人点赞
不忘初心 主持人用生命在暖场
吉祥三宝3507 给主持人加鸡腿
魅力人生768 主持人莫名喜感哈哈哈
Alive167504854 主持人今天造型满分
刚1705816 主持人口才真好
随风而荡417 主持人的身材真好
天166142546 有趣又有才的主持人，点赞
世界508 西瓜妹好漂亮
S139953344 特别喜欢这个主播
GTA冷 好佩服这位主持人哈哈
a爱国爱家a 说话好温柔啊
用户52883668965 接地气的西瓜妹
注定一个人130487941 真是伶牙俐齿啊
吉祥三宝3507 这次一定拿钱
V海青V 奖金一定是我的了
王小六 我猜这次奖金有三位数
永恒岛4 刚提现完又来捞金啦
以后的以后的以后以后 答题赢个流量钱
琴殇2140 女友等着我的奖金买杨树林呢
用户51499523928 为女神赢奖金！！！
一米阳光54670 拿到奖金就去跟男神表白
龙游天下944 答题能致富
安之若素4591 拿了奖金就付首付
Dongli180 啊！提现的钱刚刚到账啦
解忘悠 666，昨晚赢了好多钱
17oo58591 下个学期的学费有着落了～
荀鹏凯 这次赢了就买房哈哈
京津冀鲁晋豫 存好奖金娶媳妇
李良340 劳斯莱斯尾款就差这次的奖金了
李小爱疯 我想成为百万富翁
脚下这片黄土 让我的余额再多几个零吧
等待着爱952 奖金都是我的嚯嚯嚯
雾锁江舟雨留人 靠智商赚钱我骄傲
手机用户52273823794 凭智商赚钱，很好呀
真币做不出来啊 有了答题有奖，终于不再是吃瓜群众啦
Mr29323 感觉可以靠答题发家致富啦
a爱国爱家a 刚刚提现成功哈哈好开心
用户264857412 西瓜视频牛啊，2018要火
小明乌鸦 西瓜真土豪啊，有钱不拿白不拿。
张育蕾1 答题做百万英雄，不只做吃瓜群众
疯云游戏解说 西瓜群众赚钱了
带耳朵只听歌 不做吃瓜群众，我要发财
只求一份安静730 西瓜西瓜让我发
兔耳神 西瓜头号粉丝前来答题
花开的季节6415 最喜欢的APP就是西瓜啦
木头53197 西瓜是最牛短视频APP
低调的爆发190419401 感谢西瓜给我赚钱的机会
脚下这片黄土 西瓜真是大手笔呀
慧艳986 西瓜真土豪
撕心裂肺的疼256175402 队友很靠谱，西瓜更靠谱！
Angelababy187 感谢西瓜让吃瓜群众动起来
三木 西瓜给了我一次与家人互动机会
迷茫2954 西瓜越来越壮大了
A轻轻果美衣橱2号店 活动好有趣呀，西瓜这次棒棒的
博展海 别犹豫，快看西瓜视频
走楼顶上吹风克 18年致富就靠西瓜啦
用户266206450 奔小康就指望西瓜啦
先生起床了 答题APP我只用西瓜
ssorry不想放弃 还是感觉西瓜这里最好玩
三洋羊 西瓜的答题氛围最棒了
炼狱天使60168607 已经在西瓜这赢过好几次了 幸运！
波67239 只有西瓜这才是真正的全民娱乐
清浊之音 西瓜真是壕
舔长日舅 我爱西瓜
丽丽7168 西瓜棒棒棒
明天会更好42310 西瓜大发
用户264979753 忠实吃瓜群众来报道
枫唯入夜梦 刚看完视频又来答题两不误
白眉大侠14 希望西瓜多办这种活动
几里沙 西瓜老粉前来报到
自在高溆堙 先去看视频了，开始了叫我呀
琰涵快乐每一天 西瓜真是大手笔
阿哲61478373 终于感受到了知识的力量
我是王小强1 我的大学白念了
郭淑燕妈妈 好惊险，大家一起加油吧
帝尊侠隐彦 后悔当年没听讲呜呜
白笙无 哈哈我胡汉三又来抢钱啦
帅的有格调59196466 涨知识了啧啧啧
fxy元 12题也能用复活卡，棒棒棒！
宁的笑容 答题堪比坐过山车啊
肉酱 又刺激又好玩
汗五弟951 简单点送钱的方式简单点
花香惹人醉醉酒戏红颜 全家都在玩哈哈
雨后彩虹123901372 好紧张好紧张 就要开始了
宏爷当道 天哪居然手滑了
梦逍遥 和朋友小聚，一起搞起
QXG727 肾上腺素飙升，太刺激了
记忆跳板 紧张到手出汗
望穿瞅水 此时想点播一首忐忑
爱情王子705 和全家人在一起答题好开心
相安无事414 太刺激了
记忆跳板 吓得我赶紧分享了
东平先生 肾上腺素急速飙升
我想穿越22666 下一个题加油
汗五弟951 好激动，比考试还激动
东哥55344 答题真长见识了
穷困潦倒你不陪荣华富贵你不配38 答了又答，答了还想答
小混混160077529 手抖了竟然答对了哈哈
a爱国爱家a 多读书多看报 真没错
清浊之音 不好好学习的后悔去吧
刚1705816 答题时间太快就像龙卷风
兔耳神 哎呀妈呀这也太有意思了
花样年华2044819 楼上的好好笑
风轻云淡159471329 北京题友前来报到
停机的呢 河南题友前来报到
小宋15 河北题友前来报到
全心全意384 广东题友前来报到
何财玮传做养生酒和竹筒酒 山东题友前来报到
苏明红58 山西题友前来报到
A济宁学院美妆小铺 广西题友前来报到
华南虎152244532 内蒙题友前来报到
秋天712 陕西题友前来报到
悦州 甘肃题友前来报到
小周98658 吉林题友前来报到
O260551960 黑龙江题友前来报到
最好的我们401 辽宁题友前来报到
不一样的彩虹434 江苏题友前来报到
小女子2940 浙江题友前来报到
假装对你好1 安徽题友前来报到
杨三241374769 福建题友前来报到
地狱朋友圈 江西题友前来报到
那天背影 湖南题友前来报到
陈家酒鬼 湖北题友前来报到
日光倾城乜未温暖744 海南题友前来报到
用户05438291118 贵州题友前来报到
沐俊国 云南题友前来报到
